"naics_industry","province","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Wholesale trade","Ontario",222.7,232.7,252.9,286.1,285.9,273.2,265.3,263.6,242.9,261.3
"Retail trade","Ontario",793.5,802.4,810.9,770.8,769.7,835.7,836.7,856,814.6,852.1
"Transportation and warehousing","Ontario",312.3,333.1,322.8,317.8,328.4,336.7,370.3,392.1,347.2,365.7
"Finance, insurance, real estate, rental and leasing","Ontario",498.5,513,505.5,529.7,540.4,554.6,571.5,604,602.3,634.4
"Finance and insurance","Ontario",360.3,378.5,377.7,376.1,403.9,402.4,421.1,435.7,455.2,471
"Real estate and rental and leasing","Ontario",138.2,134.5,127.8,153.6,136.5,152.2,150.4,168.4,147.1,163.4
"Professional, scientific and technical services","Ontario",541.9,544.4,557,575.4,581.9,616.1,638,678.5,687.9,749.5
"Business, building and other support services 12","Ontario",300.2,325.7,328.6,327,315.4,302.8,315.8,308.5,283.9,276
"Educational services","Ontario",466.1,484.8,488.2,514.5,500.2,496.8,518.7,534.7,512,548.7
"Health care and social assistance","Ontario",759.3,776.7,792.9,800.2,824,850.8,848.8,890.8,853,899.1
"Information, culture and recreation","Ontario",305.9,303.8,305.5,298.5,306.4,307.4,306.1,305.1,271,298.6
"Accommodation and food services","Ontario",422.7,435,446.7,445,441.1,447.7,464.5,459.9,346.1,372.1
"Other services (except public administration)","Ontario",290.8,280.1,274.7,270.5,272.8,277.9,282.3,289.8,261.2,258.1
"Public administration","Ontario",364.4,365,360.5,344.8,350,360.2,351.1,371.7,388.2,411.6
"Total, all industries 6","Manitoba",621.3,626.8,628.3,637.4,637.6,648.1,654,661.4,632.6,656.2
"Goods-producing sector 7","Manitoba",145.5,149.4,147.9,147.2,155,155.4,152,154,146.5,149.9
"Agriculture 8","Manitoba",22.9,25.6,24.4,24.1,26.2,25.6,26.4,26.4,27.2,25.4
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Manitoba",7,7.2,6.8,6.1,6.6,7,6.6,6,4.7,4.3
"Forestry and logging and support activities for forestry","Manitoba",0.9,0.7,0.8,0.8,0.8,0.5,0.5,0.8,NA,NA
"Fishing, hunting and trapping","Manitoba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mining, quarrying, and oil and gas extraction 9","Manitoba",5.9,6.3,6,5.2,5.5,6.3,5.8,4.8,4,3.7
"Utilities","Manitoba",7.3,7.8,9.1,9,10.3,9.2,7.3,7,6.5,5.4
"Construction","Manitoba",45,46.4,43.6,43.5,47.2,49.4,49,50.9,47.6,49.3
"Manufacturing","Manitoba",63.2,62.4,64.1,64.5,64.7,64.2,62.8,63.8,60.5,65.5
"Durables","Manitoba",38.1,37.6,38.3,37.4,37.7,37.7,35.9,37.8,33.7,36.2
"Non-durables","Manitoba",25.1,24.8,25.8,27.1,27,26.5,26.9,26,26.9,29.4
"Services-producing sector 11","Manitoba",475.8,477.4,480.3,490.2,482.6,492.7,502,507.4,486.1,506.3
"Wholesale and retail trade","Manitoba",93,93.7,94.1,93.3,89.5,91.2,90,92.4,88.6,96.3
"Wholesale trade","Manitoba",22,19.1,21.5,22.2,20.7,21,19.3,19.2,19.5,22.4
"Retail trade","Manitoba",71,74.6,72.6,71,68.8,70.2,70.7,73.2,69.1,73.9
"Transportation and warehousing","Manitoba",36.4,36.6,37.6,38.5,35.1,36.2,38.6,41.6,38.5,41.9
"Finance, insurance, real estate, rental and leasing","Manitoba",34.5,33.9,34.4,33.4,34.8,36.7,36.4,35.3,34.2,34.8
"Finance and insurance","Manitoba",26.5,23.7,25.5,25.2,26,28.4,27,27,25.3,26.9
"Real estate and rental and leasing","Manitoba",8.1,10.2,8.9,8.2,8.8,8.3,9.5,8.3,8.9,8
"Professional, scientific and technical services","Manitoba",27.6,26.8,24.9,25.6,28.4,27.9,28.3,29.9,30.4,31.6
"Business, building and other support services 12","Manitoba",19.4,18.7,17.5,19.6,18.5,19.7,21.5,22.9,21.3,20.1
"Educational services","Manitoba",46.4,46.9,50.3,51.7,50.9,53.3,53,52.4,53.3,58.4
"Health care and social assistance","Manitoba",92.3,95.7,99.1,102.3,101.7,101,103.7,104.2,101.4,105.2
"Information, culture and recreation","Manitoba",23.1,24.3,22,22.1,22.5,22.8,23.5,22.4,19.8,20.7
"Accommodation and food services","Manitoba",39.1,39.7,39.2,40.9,40.6,43.2,42.2,42.3,35.4,32.8
"Other services (except public administration)","Manitoba",28.6,27.8,27,29.4,28.5,27.4,28.9,26.9,27.1,26.6
"Public administration","Manitoba",35.3,33.4,34.2,33.4,32.3,33.5,35.9,37.2,36.1,37.9
"Total, all industries 6","Saskatchewan",549.6,563.5,566.9,565.2,561.1,562.5,566.5,576.9,547.5,561.7
"Goods-producing sector 7","Saskatchewan",152.4,159.3,164.4,157.4,149.7,147.9,147,147.5,134.5,132.7
"Agriculture 8","Saskatchewan",40.9,43.9,44.9,42.6,41.4,38.1,39.4,40.8,37.1,31
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Saskatchewan",29.6,26.5,28.4,26.5,25.1,23.2,23.5,23.9,20.4,21.2
"Forestry and logging and support activities for forestry","Saskatchewan",1.5,1.1,1,0.7,1,0.5,0.8,0.7,0.5,0.7
"Fishing, hunting and trapping","Saskatchewan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mining, quarrying, and oil and gas extraction 9","Saskatchewan",28.1,25.3,27.2,25.7,24.1,22.7,22.6,23.1,19.7,20.3
"Utilities","Saskatchewan",5.1,5.8,6.5,6.9,6.6,7,8.1,7,6.6,6
"Construction","Saskatchewan",48.7,52.5,55.2,54.1,51.1,50.8,47.6,45.5,39.6,42.9
"Manufacturing","Saskatchewan",28.2,30.5,29.4,27.3,25.5,28.8,28.3,30.3,30.8,31.6
"Durables","Saskatchewan",18,19.1,17.8,17.7,15.7,18.1,17,18.4,18.8,18.7
"Non-durables","Saskatchewan",10.1,11.4,11.6,9.6,9.8,10.7,11.3,11.9,11.9,12.9
"Services-producing sector 11","Saskatchewan",397.1,404.2,402.4,407.9,411.4,414.6,419.5,429.4,413,429
"Wholesale and retail trade","Saskatchewan",85.4,85.2,82.3,83.3,88.4,92.6,92.3,89.8,86.9,94.9
"Wholesale trade","Saskatchewan",20.4,22.1,20.8,20.7,23.1,24.1,24.5,24.3,23.4,22.8
"Retail trade","Saskatchewan",65,63,61.4,62.6,65.2,68.5,67.8,65.5,63.4,72.1
"Transportation and warehousing","Saskatchewan",27.8,27.8,27.6,26.7,26.7,27.7,27.1,24.7,23.6,23.8
"Finance, insurance, real estate, rental and leasing","Saskatchewan",29,27,29.3,29.7,27.8,27.4,28.4,29.6,29.7,28.4
"Finance and insurance","Saskatchewan",22.4,19.3,22.5,21.3,21.4,19.7,20.2,21.5,22.2,21.8
"Real estate and rental and leasing","Saskatchewan",6.6,7.7,6.8,8.4,6.3,7.7,8.3,8.1,7.4,6.7
"Professional, scientific and technical services","Saskatchewan",24.6,27,27.9,26,27.6,29.7,26.8,27.2,26.1,26.2
"Business, building and other support services 12","Saskatchewan",13.3,13.1,13.1,13.8,13,12.7,14.5,15.3,15.6,15.2
"Educational services","Saskatchewan",39.7,42.9,43.9,43.2,40.1,39,40.6,43.9,43.9,45.5
"Health care and social assistance","Saskatchewan",71,73.5,72.7,74.7,77,77.1,79.7,80.6,81,87.5
"Information, culture and recreation","Saskatchewan",18,17,16.3,18.4,19.4,19.4,19.9,21.7,18.4,17.6
"Accommodation and food services","Saskatchewan",32.4,34,34.7,37.2,37.4,35.6,34.9,38.3,26.8,27.4
"Other services (except public administration)","Saskatchewan",25.8,25.2,23.9,25.9,24.6,23.5,24.4,26.8,27.2,25.7
"Public administration","Saskatchewan",30.1,31.5,30.7,29,29.5,29.9,30.8,31.6,33.8,36.7
"Total, all industries 6","Alberta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goods-producing sector 7","Alberta",617.4,628.9,648,630,561.5,556.9,588.4,586,543.9,552.7
"Agriculture 8","Alberta",54.4,65.9,62.6,61.4,50.3,52.1,53.1,55.8,49.2,41.3
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Alberta",173.5,172.5,174.1,155.3,136.3,135.9,147,141.5,130.5,141.5
"Forestry and logging and support activities for forestry","Alberta",3.9,2.5,2.6,3.4,4,4.1,5,3.4,4.9,2.2
"Fishing, hunting and trapping","Alberta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mining, quarrying, and oil and gas extraction 9","Alberta",169.4,169.9,171.3,151.9,132.2,131.8,142,138.1,125.6,139.3
"Utilities","Alberta",15.2,15.2,17.3,18.9,17.4,17.9,21.2,21.9,20.2,18.6
"Construction","Alberta",234.9,232.6,248.7,252.7,240.8,231.5,234.3,233,218.1,226.7
"Manufacturing","Alberta",139.3,142.8,145.4,141.7,116.7,119.5,132.9,133.9,125.9,124.6
"Durables","Alberta",88.8,82.8,88.9,87.2,69.5,68.9,78.4,77.6,69.3,70.8
"Non-durables","Alberta",50.6,59.9,56.5,54.5,47.2,50.6,54.5,56.3,56.6,53.8
"Services-producing sector 11","Alberta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wholesale and retail trade","Alberta",318.6,322.2,321.9,315.9,322,336.3,336.1,350.1,315.6,343.4
"Wholesale trade","Alberta",80.7,82,87.2,87.4,81.3,92.7,86.6,89.5,85.6,74.7
"Retail trade","Alberta",237.9,240.2,234.7,228.5,240.7,243.6,249.6,260.6,230,268.7
"Transportation and warehousing","Alberta",118.2,120.8,123.9,131.9,129.6,136,136.7,138.4,124.8,132.2
"Finance, insurance, real estate, rental and leasing","Alberta",99.9,103.3,102,108.1,109.1,108.4,113.1,112,110.4,123.6
"Finance and insurance","Alberta",68.6,66.5,67.5,69,70.6,66,67.5,66.7,72.3,76.6
"Real estate and rental and leasing","Alberta",31.3,36.8,34.6,39.1,38.4,42.4,45.6,45.3,38.1,47
"Professional, scientific and technical services","Alberta",163.2,174.3,181.3,171.3,173.4,170.3,171.6,178.1,174.2,190.2
