Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Quebec,Motor vehicle body and trailer manufacturing  [BS33620],16,17,16,13,21,12,14,23,17,19
Quebec,Motor vehicle parts manufacturing  [BS33630],14,29,22,17,29,19,26,25,18,21
Quebec,Aerospace product and parts manufacturing  [BS33640],97,161,212,226,236,222,189,218,124,136
Quebec,Railroad rolling stock manufacturing  [BS33650],2,2,1,2,1,2,4,2,2,2
Quebec,Ship and boat building  [BS33660],5,5,4,8,10,8,8,12,12,13
Quebec,Other transportation equipment manufacturing  [BS33690],13,34,30,23,24,27,14,19,20,23
Quebec,Furniture and related product manufacturing  [BS33700],107,123,75,99,111,101,81,99,72,81
Quebec,Miscellaneous manufacturing  [BS33900],52,71,55,55,65,44,73,83,85,95
Quebec,"Total, households",26188,27003,26670,26563,26008,26212,26222,26407,21518,22334
Quebec,Households: Motor fuels and lubricants,17018,17263,16652,16608,16380,17208,17218,17701,13802,14925
Quebec,Households: Electricity and other fuels,9170,9740,10019,9955,9627,9004,9004,8706,7717,7409
Ontario,"Total, industries and households",172690,173224,169899,169450,166827,164825,170603,170955,148305,152076
Ontario,"Total, industries",125724,121618,119361,119088,117601,114356,118072,119159,106794,111017
Ontario,Animal food manufacturing  [BS31110],85,87,70,103,103,88,92,91,109,108
Ontario,Sugar and confectionery product manufacturing  [BS31130],114,108,96,35,92,91,196,228,186,236
Ontario,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],313,224,164,180,178,232,253,195,192,198
